timestamp,open,high,low,close,volume,session_date,day_of_week,time_hhmm,minute_of_day,minute_from_open,bar_index_in_session,is_opening_30m,is_opening_60m,is_lunch_period,is_power_hour,session_open,running_session_high,running_session_low,session_range_so_far_pts,dist_from_session_open_pts,dist_from_running_high_pts,dist_from_running_low_pts,close_location_in_session_range,new_session_high,new_session_low,prev_day_open,prev_day_high,prev_day_low,prev_day_close,prev_day_range_pts,gap_from_prev_close_pts,gap_from_prev_close_pct,dist_to_prev_day_high_pts,dist_to_prev_day_low_pts,dist_to_prev_day_close_pts,above_prev_day_high,below_prev_day_low,or30_high,or30_low,or30_range_pts,or30_mid,or30_complete,dist_to_or30_high_pts,dist_to_or30_low_pts,above_or30_high,below_or30_low,or60_high,or60_low,or60_range_pts,or60_mid,or60_complete,dist_to_or60_high_pts,dist_to_or60_low_pts,above_or60_high,below_or60_low,vwap,dist_to_vwap_pts,dist_to_vwap_pct,above_vwap,bar_range_pts,true_range_pts,atr14_pts,rolling_volume_20_bars,relative_volume_20
2022-09-30 09:30:00,361.8,363.69,360.1623,363.05,14633332,2022-09-30,4,09:30,570,0,0,True,True,False,False,361.8,363.69,360.1623,3.5276999999999816,1.25,-0.6399999999999864,2.8876999999999953,0.8185786773251723,True,True,,,,,,,,,,,False,False,,,,,False,,,False,False,,,,,False,,,False,False,362.3007666666667,0.7492333333333363,0.002067987159471471,True,3.5276999999999816,3.5276999999999816,3.5276999999999816,14633332.0,1.0
2022-09-30 10:30:00,363.06,365.91,362.93,365.28,9368731,2022-09-30,4,10:30,630,60,1,False,False,False,False,361.8,365.91,360.1623,5.747700000000009,3.4799999999999613,-0.6300000000000523,5.117699999999957,0.8903909389842805,True,False,,,,,,,,,,,False,False,363.69,360.1623,3.5276999999999816,361.92615,True,1.589999999999975,5.117699999999957,True,False,363.69,360.1623,3.5276999999999816,361.92615,True,1.589999999999975,5.117699999999957,True,False,363.23986218995145,2.0401378100485204,0.005616503094535526,True,2.980000000000018,2.980000000000018,3.25385,12001031.5,0.7806604790596542
2022-09-30 11:30:00,365.29,365.62,361.8021,362.43,8252876,2022-09-30,4,11:30,690,120,2,False,False,True,False,361.8,365.91,360.1623,5.747700000000009,0.6299999999999955,-3.480000000000018,2.2676999999999907,0.3945404248655962,False,False,,,,,,,,,,,False,False,363.69,360.1623,3.5276999999999816,361.92615,True,-1.259999999999991,2.2676999999999907,False,False,363.69,360.1623,3.5276999999999816,361.92615,True,-1.259999999999991,2.2676999999999907,False,False,363.2511639930368,-0.8211639930368051,-0.002260595627582204,False,3.8179000000000087,3.8179000000000087,3.4418666666666695,10751646.333333334,0.7675918407410411
2022-09-30 12:30:00,362.4364,363.385,362.02,362.69,5413591,2022-09-30,4,12:30,750,180,3,False,False,True,False,361.8,365.91,360.1623,5.747700000000009,0.8899999999999864,-3.2200000000000273,2.5276999999999816,0.43977591036414176,False,False,,,,,,,,,,,False,False,363.69,360.1623,3.5276999999999816,361.92615,True,-1.0,2.5276999999999816,False,False,363.69,360.1623,3.5276999999999816,361.92615,True,-1.0,2.5276999999999816,False,False,363.1717130804609,-0.48171308046090644,-0.0013264058380950572,False,1.365000000000009,1.365000000000009,2.9226500000000044,9417132.5,0.574866181398637
2022-09-30 13:30:00,362.7,362.9199,360.33,360.74,8535125,2022-09-30,4,13:30,810,240,4,False,False,False,False,361.8,365.91,360.1623,5.747700000000009,-1.0600000000000023,-5.170000000000016,0.577699999999993,0.10050976912503995,False,False,,,,,,,,,,,False,False,363.69,360.1623,3.5276999999999816,361.92615,True,-2.9499999999999886,0.577699999999993,False,False,363.69,360.1623,3.5276999999999816,361.92615,True,-2.9499999999999886,0.577699999999993,False,False,362.8314903024136,-2.091490302413604,-0.005764357169413228,False,2.5899,2.5899,2.8561000000000036,9240731.0,0.9236417551814894
2022-09-30 14:30:00,360.7305,361.2301,358.85,360.07,13118502,2022-09-30,4,14:30,870,300,5,False,False,False,False,361.8,365.91,358.85,7.060000000000002,-1.7300000000000182,-5.840000000000032,1.2199999999999704,0.17280453257789943,False,True,,,,,,,,,,,False,False,363.69,360.1623,3.5276999999999816,361.92615,True,-3.6200000000000045,-0.09230000000002292,False,True,363.69,360.1623,3.5276999999999816,361.92615,True,-3.6200000000000045,-0.09230000000002292,False,True,362.2163988988459,-2.1463988988459164,-0.005925736397830317,False,2.3800999999999704,2.3800999999999704,2.776766666666665,9887026.166666666,1.326840020331695
2022-09-30 15:30:00,360.08,360.7,357.11,357.19,27038466,2022-09-30,4,15:30,930,360,6,False,False,False,True,361.8,365.91,357.11,8.800000000000011,-4.610000000000014,-8.720000000000027,0.07999999999998408,0.00909090909090727,False,True,,,,,,,,,,,False,False,363.69,360.1623,3.5276999999999816,361.92615,True,-6.5,-2.9723000000000184,False,True,363.69,360.1623,3.5276999999999816,361.92615,True,-6.5,-2.9723000000000184,False,True,361.000658059773,-3.8106580597730044,-0.010555820258759892,False,3.589999999999975,3.589999999999975,2.892942857142852,12337231.857142856,2.1916152920758805
2022-10-03 09:30:00,361.08,364.82,359.21,364.3405,14038550,2022-10-03,0,09:30,570,0,0,True,True,False,False,361.08,364.82,359.21,5.610000000000014,3.260500000000036,-0.47949999999997317,5.1305000000000405,0.9145276292335166,True,True,361.8,365.91,357.11,357.19,8.800000000000011,3.8899999999999864,0.010890562445757122,-1.569500000000005,7.230500000000006,7.150500000000022,False,False,,,,,False,,,False,False,,,,,False,,,False,False,362.79016666666666,1.5503333333333558,0.004273360955667272,True,5.610000000000014,7.6299999999999955,3.485074999999995,12549896.625,1.1186187758737813
2022-10-03 10:30:00,364.38,365.45,363.86,364.92,8908960,2022-10-03,0,10:30,630,60,1,False,False,False,False,361.08,365.45,359.21,6.240000000000009,3.840000000000032,-0.5299999999999727,5.710000000000036,0.9150641025641071,True,False,361.8,365.91,357.11,357.19,8.800000000000011,3.8899999999999864,0.010890562445757122,-0.9900000000000091,7.810000000000002,7.730000000000018,False,False,364.82,359.21,5.610000000000014,362.015,True,0.10000000000002274,5.710000000000036,True,False,364.82,359.21,5.610000000000014,362.015,True,0.10000000000002274,5.710000000000036,True,False,363.548448663566,1.3715513364340381,0.0037726782811918847,True,1.589999999999975,1.589999999999975,3.274511111111104,12145348.111111112,0.7335285838245905
2022-10-03 11:30:00,364.925,365.19,363.44,363.73,6249015,2022-10-03,0,11:30,690,120,2,False,False,True,False,361.08,365.45,359.21,6.240000000000009,2.650000000000034,-1.7199999999999704,4.520000000000039,0.7243589743589794,False,False,361.8,365.91,357.11,357.19,8.800000000000011,3.8899999999999864,0.010890562445757122,-2.180000000000007,6.6200000000000045,6.5400000000000205,False,False,364.82,359.21,5.610000000000014,362.015,True,-1.089999999999975,4.520000000000039,False,False,364.82,359.21,5.610000000000014,362.015,True,-1.089999999999975,4.520000000000039,False,False,363.67077941610063,0.05922058389938911,0.0001628411938800032,True,1.75,1.75,3.122059999999993,11555714.8,0.5407726919670949
