timestamp,open,high,low,close,volume
2022-09-30 09:30:00,361.8,363.69,360.1623,363.05,14633332
2022-09-30 10:30:00,363.06,365.91,362.93,365.28,9368731
2022-09-30 11:30:00,365.29,365.62,361.8021,362.43,8252876
2022-09-30 12:30:00,362.4364,363.385,362.02,362.69,5413591
2022-09-30 13:30:00,362.7,362.9199,360.33,360.74,8535125
2022-09-30 14:30:00,360.7305,361.2301,358.85,360.07,13118502
2022-09-30 15:30:00,360.08,360.7,357.11,357.19,27038466
2022-10-03 09:30:00,361.08,364.82,359.21,364.3405,14038550
2022-10-03 10:30:00,364.38,365.45,363.86,364.92,8908960
2022-10-03 11:30:00,364.925,365.19,363.44,363.73,6249015
2022-10-03 12:30:00,363.73,365.6401,363.4,365.3,5196914
2022-10-03 13:30:00,365.32,367.609,365.27,367.4901,7384281
2022-10-03 14:30:00,367.51,368.55,367.265,368.06,9258108
2022-10-03 15:30:00,368.0599,368.29,366.08,366.6,12431488
2022-10-04 09:30:00,372.4,377.24,372.31,376.08,18098040
2022-10-04 10:30:00,376.07,377.46,375.89,377.3407,8398935
2022-10-04 11:30:00,377.35,377.66,376.402,377.295,7166242
2022-10-04 12:30:00,377.3,377.57,374.1,375.39,8115978
2022-10-04 13:30:00,375.39,376.78,375.14,375.5991,6266338
2022-10-04 14:30:00,375.58,377.41,375.46,376.6,8436043
2022-10-04 15:30:00,376.58,378.0,376.105,377.93,13840108
2022-10-05 09:30:00,373.39,375.18,371.43,371.52,14326137
2022-10-05 10:30:00,371.49,372.83,370.95,372.57,8143730
2022-10-05 11:30:00,372.56,375.19,372.23,374.475,6627940
2022-10-05 12:30:00,374.49,377.54,374.17,376.64,8208655
2022-10-05 13:30:00,376.63,377.24,375.68,377.02,6608529
2022-10-05 14:30:00,377.02,379.46,376.5,378.505,8738785
2022-10-05 15:30:00,378.52,378.86,376.47,377.15,11020951
2022-10-06 09:30:00,375.62,378.72,373.61,373.66,14871535
2022-10-06 10:30:00,373.6601,376.825,373.41,376.51,9479818
2022-10-06 11:30:00,376.52,376.94,373.98,375.31,7286354
2022-10-06 12:30:00,375.31,376.31,374.72,375.79,5653983
2022-10-06 13:30:00,375.79,375.79,374.04,374.39,5469550
2022-10-06 14:30:00,374.42,374.94,372.68,374.46,8035774
2022-10-06 15:30:00,374.46,374.5929,372.92,373.22,8849339
2022-10-07 09:30:00,368.97,369.37,364.77,366.22,15202382
2022-10-07 10:30:00,366.24,367.14,365.12,365.8311,7648416
2022-10-07 11:30:00,365.84,366.12,364.2,364.31,6864575
2022-10-07 12:30:00,364.31,364.33,363.11,363.84,7139906
2022-10-07 13:30:00,363.83,364.37,362.63,362.68,7087279
2022-10-07 14:30:00,362.66,363.5,361.29,361.62,8798837
2022-10-07 15:30:00,361.62,363.26,360.94,362.8,17919588
2022-10-10 09:30:00,363.97,364.21,360.955,362.49,10315429
2022-10-10 10:30:00,362.51,362.965,359.3,360.34,9101142
2022-10-10 11:30:00,360.35,361.47,358.88,359.0501,5673275
2022-10-10 12:30:00,359.04,359.36,357.67,358.98,6718512
2022-10-10 13:30:00,358.97,362.37,358.91,360.6325,8704604
2022-10-10 14:30:00,360.62,361.975,360.05,360.7584,6527817
2022-10-10 15:30:00,360.81,361.73,360.03,360.07,7189202
2022-10-11 09:30:00,358.26,358.9,355.81,356.77,12243282
2022-10-11 10:30:00,356.724,359.56,356.26,359.35,8929711
2022-10-11 11:30:00,359.35,361.74,359.19,361.26,8678598
2022-10-11 12:30:00,361.26,363.03,361.12,361.41,7453528
2022-10-11 13:30:00,361.4,362.16,360.44,361.3,5498208
2022-10-11 14:30:00,361.29,361.81,355.71,357.1,15693892
2022-10-11 15:30:00,357.12,358.24,356.42,357.74,11098398
2022-10-12 09:30:00,358.17,359.8179,356.3,358.4,12635259
2022-10-12 10:30:00,358.41,359.2,357.09,358.74,6434748
2022-10-12 11:30:00,358.8,359.8,358.032,358.19,5865557
2022-10-12 12:30:00,358.16,358.82,357.62,358.28,4549956
2022-10-12 13:30:00,358.29,359.27,357.11,359.0551,7732064
2022-10-12 14:30:00,359.0457,359.4,357.1462,357.61,6616015
2022-10-12 15:30:00,357.62,358.3,356.5,356.55,8563384
2022-10-13 09:30:00,349.23,354.1409,348.11,352.0,21152182
2022-10-13 10:30:00,351.97,362.72,351.77,360.28,20862797
2022-10-13 11:30:00,360.29,365.34,359.82,361.32,19233289
2022-10-13 12:30:00,361.33,365.74,361.11,365.29,8947418
2022-10-13 13:30:00,365.35,366.49,363.96,364.1,9963959
