timestamp,open,high,low,close,volume
2022-09-30 09:30:00,361.8,362.77,361.79,362.46,1461994
2022-09-30 09:35:00,362.43,362.6,360.17,360.6501,1844705
2022-09-30 09:40:00,360.64,362.5273,360.1623,361.57,1487939
2022-09-30 09:45:00,361.54,362.24,360.67,361.52,1343398
2022-09-30 09:50:00,361.54,362.99,361.16,362.95,1497929
2022-09-30 09:55:00,362.92,363.69,362.73,363.1,1583871
2022-09-30 10:00:00,363.08,363.33,362.24,362.93,1009861
2022-09-30 10:05:00,362.925,363.18,362.19,362.8055,978502
2022-09-30 10:10:00,362.81,363.42,362.225,362.66,911826
2022-09-30 10:15:00,362.64,362.87,361.59,362.5805,963697
2022-09-30 10:20:00,362.58,362.95,362.13,362.79,659762
2022-09-30 10:25:00,362.81,363.49,362.26,363.05,889848
2022-09-30 10:30:00,363.06,364.37,362.93,364.2141,1207302
2022-09-30 10:35:00,364.23,364.61,363.95,364.25,915258
2022-09-30 10:40:00,364.235,364.25,363.76,364.025,759340
2022-09-30 10:45:00,364.05,364.24,363.3,363.91,687254
2022-09-30 10:50:00,363.89,364.53,363.65,364.15,811989
2022-09-30 10:55:00,364.17,364.34,363.64,364.1599,610088
2022-09-30 11:00:00,364.2,364.85,363.5801,364.64,783089
2022-09-30 11:05:00,364.65,365.65,364.45,365.56,827658
2022-09-30 11:10:00,365.58,365.91,365.32,365.6,697544
2022-09-30 11:15:00,365.62,365.86,365.21,365.3505,685389
2022-09-30 11:20:00,365.35,365.67,365.24,365.555,633156
2022-09-30 11:25:00,365.56,365.78,365.24,365.28,750664
2022-09-30 11:30:00,365.29,365.62,365.08,365.34,480448
2022-09-30 11:35:00,365.33,365.37,364.5,364.67,751365
2022-09-30 11:40:00,364.66,364.79,363.55,363.57,1062051
2022-09-30 11:45:00,363.575,363.85,363.22,363.26,796243
2022-09-30 11:50:00,363.26,363.26,362.76,362.8832,807598
2022-09-30 11:55:00,362.88,363.07,362.71,362.95,554439
2022-09-30 12:00:00,362.96,362.98,362.16,362.47,1012537
2022-09-30 12:05:00,362.46,362.72,362.12,362.13,464565
2022-09-30 12:10:00,362.11,362.58,362.06,362.49,608779
2022-09-30 12:15:00,362.49,362.83,362.49,362.54,558731
2022-09-30 12:20:00,362.525,362.77,361.8021,362.54,635426
2022-09-30 12:25:00,362.54,362.88,362.37,362.43,520694
2022-09-30 12:30:00,362.4364,362.825,362.3712,362.76,407757
2022-09-30 12:35:00,362.76,363.29,362.55,363.17,854456
2022-09-30 12:40:00,363.19,363.2995,362.96,363.23,542597
2022-09-30 12:45:00,363.21,363.385,363.05,363.23,570675
2022-09-30 12:50:00,363.24,363.38,362.72,362.7499,367027
2022-09-30 12:55:00,362.74,362.99,362.58,362.6574,443876
2022-09-30 13:00:00,362.63,362.708,362.02,362.38,506457
2022-09-30 13:05:00,362.375,362.8689,362.2706,362.6,395756
2022-09-30 13:10:00,362.6111,362.98,362.31,362.33,301675
2022-09-30 13:15:00,362.32,362.6299,362.04,362.205,310222
2022-09-30 13:20:00,362.2,362.6,362.13,362.25,361533
2022-09-30 13:25:00,362.24,362.9,362.08,362.69,351560
2022-09-30 13:30:00,362.7,362.9199,362.17,362.19,445558
2022-09-30 13:35:00,362.18,362.1994,361.42,361.55,835995
2022-09-30 13:40:00,361.54,361.54,361.07,361.08,524086
